LONGITUDE,LATITUDE,OBJECTID,PRIMARY_KEY,ID_NUM,BETWEEN_STREETS,BETWEEN_STREET1,BETWEEN_STREET2,DIRECTION_BOUND,START_DATE,END_DATE,Count_year,AVE_WEEKDAY_TRAFFIC,AM_PEAK_8TO9,PM_PEAK_5TO6,OTHER_PEAK_TIMES,PERCENT_HEAVY_VEHICLES,SPEED_LIMIT,PERCENTILE_85TH,PERCENT_EXCEED_SPEED_LIMIT,DATA_COLLECTED_BY,LAST_EDITED_DATE
115.87966,-31.95318402,30000,1016,1230_1231,Royal Street,Haig Park Cir,Trafalgar Rd,Westbound,2018/02/05 00:00:00+00,2018/02/11 00:00:00+00,2018,1822,200,154,207 (1500-1600),8.8,50,35,0.08,COP,2019/02/24 08:20:33+00
115.87966,-31.95318402,30001,1017,1230_1231,Royal Street,Haig Park Cir,Trafalgar Rd,Eastbound,2018/02/05 00:00:00+00,2018/02/11 00:00:00+00,2018,2030,297,146,155 (1500-1600),9.9,50,39,0.19,COP,2019/02/24 08:20:33+00
115.8769034,-31.94855911,30002,1149,1689_395,East Parade,Freeway,Kensington St,Northbound,2018/10/12 00:00:00+00,2018/10/22 00:00:00+00,2018,16327,991,1561,,0.048,60,55.71,0.05949,Austraffic,2019/02/24 08:20:33+00
115.8769034,-31.94855911,30003,929,1689_395,East Parade,Graham Farmer Fwy,Kensington St,Northbound,2017/06/12 00:00:00+00,2017/07/26 00:00:00+00,2017,15397,975,1588,1095 (1600-1700),3.51,60,56.5,6.8,COP,2019/02/24 08:20:33+00
115.8769034,-31.94855911,30004,930,1689_395,East Parade,Graham Farmer Fwy,Kensington St,Southbound,2017/06/12 00:00:00+00,2017/07/26 00:00:00+00,2017,16069,2015,1023,,3.72,60,58.5,11.05,COP,2019/02/24 08:20:33+00
115.8769034,-31.94855911,30005,591,1689_395,East Parade,Kensington St,Gf Freeway Offramp,Southbound,2015/07/20 00:00:00+00,2015/08/02 00:00:00+00,2015,14529,1732,872,,5.6,60,58,9.7,COP,2019/02/24 08:20:33+00
115.8769034,-31.94855911,30006,743,1689_395,East Parade,Graham Farmer Fwy,Kensington St,Southbound,2016/06/20 00:00:00+00,2016/07/04 00:00:00+00,2016,16174,1974,1009,,4.9,60,59,10.86,COP,2019/02/24 08:20:33+00
115.8769034,-31.94855911,30007,979,1689_395,East Parade,Freeway,Kensington St,Northbound,2017/10/17 00:00:00+00,2017/10/23 00:00:00+00,2017,16400,1018,1597,1096( 1600-1700),2.51,60,56.85,7.5,PENTAGON S,2019/02/24 08:20:33+00
115.8769034,-31.94855911,30008,980,1689_395,East Parade,Freeway,Kensington St,Southbound,2017/10/17 00:00:00+00,2017/10/23 00:00:00+00,2017,16894,2028,1114,,2.55,60,58.7,11.65,PENTAGON S,2019/02/24 08:20:33+00
115.8594425,-31.95570509,30009,666,1705_527,St Georges Terrace,Barrack St,William St,Westbound,2015/11/23 00:00:00+00,2015/12/06 00:00:00+00,2015,12394,906,617,767 (14:00 - 15:00),10.9,40,45,31.7,COP,2019/02/24 08:20:33+00
115.8430322,-31.94490395,30010,580,208_254,Prowse Street,Colin St,Lawrence Ave,Westbound,2015/06/08 00:00:00+00,2015/06/22 00:00:00+00,2015,736,104,54,,2.4,50,35,0.1,COP,2019/02/24 08:20:33+00
115.8419098,-31.94384302,30011,879,215_218,Arthur Street,Loftus St,Colin St,Eastbound,2017/04/28 00:00:00+00,2017/05/15 00:00:00+00,2017,1067,144,59,60 (1300-1400),1.69,50,46.8,6.4,COP,2019/02/24 08:20:33+00
115.8419098,-31.94384302,30012,880,215_218,Arthur Street,Loftus St,Colin St,Westbound,2017/04/28 00:00:00+00,2017/05/15 00:00:00+00,2017,204,11,29,16 (1100-1200),3.72,50,45,6.4,COP,2019/02/24 08:20:33+00
115.8533828,-31.94452431,30013,713,232_275,Fitzgerald Street,Aberdeen St,John St,Northbound,2016/05/23 00:00:00+00,2016/06/05 00:00:00+00,2016,8250,394,809,458 (11:00-12:00) & 817 (16:00-17:00),8.8,50,47,9.56,COP,2019/02/24 08:20:33+00
115.8533828,-31.94452431,30014,714,232_275,Fitzgerald Street,Aberdeen St,John St,Southbound,2016/05/23 00:00:00+00,2016/06/05 00:00:00+00,2016,9629,1034,542,586 (14:00-15:00),8.8,50,51,16.93,COP,2019/02/24 08:20:33+00
115.853968,-31.94358398,30015,967,233_232,Fitzgerald Street,Aberdeen St,Newcastle St,Northbound,2017/10/16 00:00:00+00,2017/10/23 00:00:00+00,2017,9555,403,993,285 (1100-1200),4.32,50,44.65,5.9,PENTAGON S,2019/02/24 08:20:33+00
115.853968,-31.94358398,30016,968,233_232,Fitzgerald Street,Aberdeen St,Newcastle St,Southbound,2017/10/16 00:00:00+00,2017/10/23 00:00:00+00,2017,9505,1148,535,,4.82,50,47.85,11,PENTAGON S,2019/02/24 08:20:33+00
115.853968,-31.94358398,30017,637,233_232,Fitzgerald Street,Aberdeen St,Newcastle St,Northbound,2015/10/12 00:00:00+00,2015/10/25 00:00:00+00,2015,9594,437,886,520 (11:00 - 12:00)893 (16:00 - 17:00),7.7,50,48,11.9,COP,2019/02/24 08:20:33+00
115.853968,-31.94358398,30018,638,233_232,Fitzgerald Street,Aberdeen St,Newcastle St,Southbound,2015/10/12 00:00:00+00,2015/10/25 00:00:00+00,2015,10098,1087,609,,12.8,50,52,21.3,COP,2019/02/24 08:20:33+00
115.8576298,-31.94471445,30019,639,235_285,Newcastle Street,Lake St,Palmerston St,Westbound,2015/10/12 00:00:00+00,2015/10/25 00:00:00+00,2015,6991,473,476,479 (16:00 - 17:00),2.8,50,46,6.3,COP,2019/02/24 08:20:33+00
115.8576298,-31.94471445,30020,536,235_285,Newcastle Street,Lake St,Palmerston St,Westbound,2014/11/10 00:00:00+00,2014/11/24 00:00:00+00,2014,7108,463,493,,4.3,50,46,5.5,COP,2019/02/24 08:20:33+00
115.8576298,-31.94471445,30021,1259,235_285,Newcastle St,Palmerston St,Lake St,Eastbound,2019/04/01 00:00:00+00,2019/04/08 00:00:00+00,2019,6278,477,371,,2.5,50,46.08,4.36,COP,2019/02/24 08:20:33+00
115.8576298,-31.94471445,30022,1260,235_285,Newcastle St,Palmerston St,Lake St,Westbound,2019/04/01 00:00:00+00,2019/04/08 00:00:00+00,2019,6114,401,413,,2.6,50,46.08,4.65,COP,2019/02/24 08:20:33+00
115.8576298,-31.94471445,30023,715,235_285,Newcastle Street,Lake St,Palmerston St,Westbound,2016/05/23 00:00:00+00,2016/06/05 00:00:00+00,2016,6485,464,421,478 (09:00-10:00),3.6,50,48,10.43,COP,2019/02/24 08:20:33+00
115.8576298,-31.94471445,30024,716,235_285,Newcastle Street,Lake St,Palmerston St,Eastbound,2016/05/23 00:00:00+00,2016/06/05 00:00:00+00,2016,6414,428,429,458 (14:00-15:00),3.6,50,47,7.51,COP,2019/02/24 08:20:33+00
115.838105,-31.94743598,30025,572,239_309,Hay Street,Thomas St,Outram St,Westbound,2015/06/08 00:00:00+00,2015/06/22 00:00:00+00,2015,10101,770,882,,4.2,50,49,14,COP,2019/02/24 08:20:33+00
115.838105,-31.94743598,30026,969,239_309,Hay Street,Thomas St,Outram St,Westbound,2017/10/16 00:00:00+00,2017/10/23 00:00:00+00,2017,9708,750,938,,2.5,50,43.4,4.05,PENTAGON S,2019/02/24 08:20:33+00
115.838105,-31.94743598,30027,901,239_309,Hay Street,Thomas St,Outram St,Westbound,2017/05/01 00:00:00+00,2017/05/16 00:00:00+00,2017,9691,683,938,310 (1100-1200),2.13,50,45,0.35,COP,2019/02/24 08:20:33+00
115.838105,-31.94743598,30028,1153,239_309,Hay Street,Thomas St,Outram St,Westbound,2018/10/14 00:00:00+00,2018/10/22 00:00:00+00,2018,9028,685,1003,,2.7,40,46.89,45.82,Austraffic,2019/02/24 08:20:33+00
115.838105,-31.94743598,30029,1153,239_309,Hay Street,Thomas St,Outram St,Westbound,2018/10/14 00:00:00+00,2018/10/22 00:00:00+00,2018,9028,685,1003,,2.7,40,46.89,45.82,Austraffic,2019/02/24 08:20:33+00
115.838105,-31.94743598,30030,1153,239_309,Hay Street,Thomas St,Outram St,Westbound,2018/10/14 00:00:00+00,2018/10/22 00:00:00+00,2018,9028,685,1003,,2.7,40,46.89,45.82,Austraffic,2019/02/24 08:20:33+00
115.838105,-31.94743598,30031,497,239_309,Hay Street,Thomas St,Outram St,Westbound,2014/05/19 00:00:00+00,2014/06/02 00:00:00+00,2014,10054,763,825,,3.6,50,50,17,COP,2019/02/24 08:20:33+00
115.838105,-31.94743598,30032,1153,239_309,Hay Street,Thomas St,Outram St,Westbound,2018/10/14 00:00:00+00,2018/10/22 00:00:00+00,2018,9028,685,1003,,0.027,40,46.89,0.4582,Austraffic,2019/02/24 08:20:33+00
115.838105,-31.94743598,30033,701,239_309,Hay Street,Thomas St,Outram St,Westbound,2016/04/26 00:00:00+00,2016/05/06 00:00:00+00,2016,10217,888,955,,6.3,50,49,11.94,COP,2019/02/24 08:20:33+00
115.839578,-31.946396,30034,702,241_242,Murray Street,Thomas St,Outram St,Eastbound,2016/04/26 00:00:00+00,2016/05/09 00:00:00+00,2016,7270,738,449,475 (16:00-17:00),4.5,50,52,22.34,COP,2019/02/24 08:20:33+00
115.839578,-31.946396,30035,915,241_242,Murray Street,Thomas St,Outram St,Eastbound,2017/05/02 00:00:00+00,2017/05/16 00:00:00+00,2017,7649,770,483,272 (1600-1700),3.2,50,51.3,20.75,COP,2019/02/24 08:20:33+00
115.839578,-31.946396,30036,498,241_242,Murray Street,Thomas St,Outram St,Eastbound,2014/05/19 00:00:00+00,2014/06/02 00:00:00+00,2014,6896,689,476,,4.3,50,52,22.2,COP,2019/02/24 08:20:33+00
115.839578,-31.946396,30037,1156,241_242,Murray Street,Thomas St,Outram St,Eastbound,2018/10/11 00:00:00+00,2018/10/22 00:00:00+00,2018,7217,766,473,,0.035,50,51.93,0.2319,Austraffic,2019/02/24 08:20:33+00
